Sr.No.,ORGANIZATION NAME,LINK
52,Kerala Medical Services Corporation Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnGKBGZPC0YWw0b2oBPGIdg%3D%3D
53,Kerala Minerals and Metals Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sl20tHcROYLu%2BkL1B2ZoORA%3D%3D
54,Kerala Paper Products Limited,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2e3qekFxz9AgCdL902j9HdS0Fec7wUuNy1YFXyqSerE%3D
55,Kerala Police,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR2ASkyJhj3juBKJGM0aUtA%3D%3D
56,Kerala Police Housing and Construction Corp. Ltd.,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SLZosoASXwPlnwcG3wtgLTw%3D%3D
57,Kerala Public Service Commission,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SlcFAaPXVxEAHbviR5LWD3Q%3D%3D
58,Kerala Rail Development Corporation Ltd.,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoadAB2lUbd8ZBy9u35v6BNS0Fec7wUuNy1YFXyqSerE%3D
59,Kerala Road Fund Board,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnQ0Ab2Z%2BS6H6MNSL8wcyW9S0Fec7wUuNy1YFXyqSerE%3D
60,Kerala Rural Water Supply and Sanitation Agency,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZLkFwXvSpyddu2rv7tgHctS0Fec7wUuNy1YFXyqSerE%3D
61,Kerala Shipping and Inland Navigation Corporation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SIH4%2BMjGp1GDz54PhllynJtS0Fec7wUuNy1YFXyqSerE%3D
